,artist id,artist popularity,genres,name,uri,url
0,5YGY8feqx7naU7z4HrwZM6,87,"['dance pop', 'pop', 'post-teen pop']",Miley Cyrus,spotify:artist:5YGY8feqx7naU7z4HrwZM6,https://open.spotify.com/artist/5YGY8feqx7naU7z4HrwZM6
1,7n2wHs1TKAczGzO7Dd2rGr,92,"['canadian pop', 'pop', 'post-teen pop', 'viral pop']",Shawn Mendes,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr
2,246dkjvS1zLTtiykXe5h60,100,"['dfw rap', 'melodic rap', 'pop', 'rap']",Post Malone,spotify:artist:246dkjvS1zLTtiykXe5h60,https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60
3,4GNC7GD6oZMSxPGyXy4MNB,89,"['pop', 'uk pop']",Lewis Capaldi,spotify:artist:4GNC7GD6oZMSxPGyXy4MNB,https://open.spotify.com/artist/4GNC7GD6oZMSxPGyXy4MNB
5,1LnBqMojv6Dv6DoPWTDSZ7,49,['tropical house'],Saco,spotify:artist:1LnBqMojv6Dv6DoPWTDSZ7,https://open.spotify.com/artist/1LnBqMojv6Dv6DoPWTDSZ7
6,55Aa2cqylxrFIXC767Z865,89,"['hip hop', 'new orleans rap', 'pop', 'pop rap', 'rap', 'trap']",Lil Wayne,spotify:artist:55Aa2cqylxrFIXC767Z865,https://open.spotify.com/artist/55Aa2cqylxrFIXC767Z865
7,7cyJzgiJTXR3hf62l5zLOr,57,"['deep tropical house', 'tropical house']",Henri Purnell,spotify:artist:7cyJzgiJTXR3hf62l5zLOr,https://open.spotify.com/artist/7cyJzgiJTXR3hf62l5zLOr
8,3hv9jJF3adDNsBSIQDqcjp,81,"['dance pop', 'pop']",Mark Ronson,spotify:artist:3hv9jJF3adDNsBSIQDqcjp,https://open.spotify.com/artist/3hv9jJF3adDNsBSIQDqcjp
9,4skzy1qEMyM3FqC3b6EjRU,55,['arab electronic'],Imad,spotify:artist:4skzy1qEMyM3FqC3b6EjRU,https://open.spotify.com/artist/4skzy1qEMyM3FqC3b6EjRU
10,5UUdxfBMwm0hLlLgnZtBFv,60,[],Madism,spotify:artist:5UUdxfBMwm0hLlLgnZtBFv,https://open.spotify.com/artist/5UUdxfBMwm0hLlLgnZtBFv
11,23fqKkggKUBHNkbKtXEls4,87,"['edm', 'pop', 'tropical house']",Kygo,spotify:artist:23fqKkggKUBHNkbKtXEls4,https://open.spotify.com/artist/23fqKkggKUBHNkbKtXEls4
12,1MIVXf74SZHmTIp4V4paH4,81,"['dance pop', 'pop', 'post-teen pop', 'tropical house', 'uk pop']",Mabel,spotify:artist:1MIVXf74SZHmTIp4V4paH4,https://open.spotify.com/artist/1MIVXf74SZHmTIp4V4paH4
14,0X2BH1fck6amBIoJhDVmmJ,85,"['dance pop', 'edm', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'tropical house', 'uk pop']",Ellie Goulding,spotify:artist:0X2BH1fck6amBIoJhDVmmJ,https://open.spotify.com/artist/0X2BH1fck6amBIoJhDVmmJ
15,7CajNmpbOovFoOoasH2HaY,88,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'tropical house', 'uk dance']",Calvin Harris,spotify:artist:7CajNmpbOovFoOoasH2HaY,https://open.spotify.com/artist/7CajNmpbOovFoOoasH2HaY
16,0xRXCcSX89eobfrshSVdyu,82,['pop house'],MEDUZA,spotify:artist:0xRXCcSX89eobfrshSVdyu,https://open.spotify.com/artist/0xRXCcSX89eobfrshSVdyu
17,3Isy6kedDrgPYoTS1dazA9,83,"['dance pop', 'dancehall', 'pop', 'pop rap']",Sean Paul,spotify:artist:3Isy6kedDrgPYoTS1dazA9,https://open.spotify.com/artist/3Isy6kedDrgPYoTS1dazA9
18,06HL4z0CvFAxyc27GXpf02,94,"['dance pop', 'pop', 'post-teen pop']",Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02
19,6itjssbXTQ3rvcM8nLkkHi,27,[],Lex,spotify:artist:6itjssbXTQ3rvcM8nLkkHi,https://open.spotify.com/artist/6itjssbXTQ3rvcM8nLkkHi
20,0cYQPenhK6K02oHR5Wb0R1,37,[],Seolo,spotify:artist:0cYQPenhK6K02oHR5Wb0R1,https://open.spotify.com/artist/0cYQPenhK6K02oHR5Wb0R1
21,1HBjj22wzbscIZ9sEb5dyf,84,"['dance pop', 'edm', 'pop', 'tropical house', 'uk dance']",Jonas Blue,spotify:artist:1HBjj22wzbscIZ9sEb5dyf,https://open.spotify.com/artist/1HBjj22wzbscIZ9sEb5dyf
