,index,artist,ranking,song,songurl,titletext,url,year
0,0,Faith Hill,"1
",Breathe,/wiki/Breathe_(Faith_Hill_song),Breathe,/wiki/Faith_Hill,2000
1,1,Santana,"2
",Smooth,/wiki/Smooth_(song),Smooth,/wiki/Santana_(band),2000
2,2,Santana,"3
",Maria Maria,/wiki/Maria_Maria,Maria Maria,/wiki/Santana_(band),2000
3,3,Joe,"4
",I Wanna Know,/wiki/I_Wanna_Know_(Joe_song),I Wanna Know,/wiki/Joe_(singer),2000
4,4,Vertical Horizon,"5
",Everything You Want,/wiki/Everything_You_Want_(Vertical_Horizon_song),Everything You Want,/wiki/Vertical_Horizon,2000
5,5,Destiny's Child,"6
",Say My Name,/wiki/Say_My_Name,Say My Name,/wiki/Destiny%27s_Child,2000
6,6,Savage Garden,"7
",I Knew I Loved You,/wiki/I_Knew_I_Loved_You_(Savage_Garden_song),I Knew I Loved You,/wiki/Savage_Garden,2000
7,7,Lonestar,"8
",Amazed,/wiki/Amazed,Amazed,/wiki/Lonestar,2000
8,8,Matchbox Twenty,"9
",Bent,/wiki/Bent_(song),Bent,/wiki/Matchbox_Twenty,2000
9,9,Toni Braxton,"10
",He Wasn't Man Enough,/wiki/He_Wasn%27t_Man_Enough,He Wasn't Man Enough,/wiki/Toni_Braxton,2000
10,10,Creed,"11
",Higher,/wiki/Higher_(Creed_song),Higher,/wiki/Creed_(band),2000
11,11,Aaliyah,"12
",Try Again,/wiki/Try_Again_(Aaliyah_song),Try Again,/wiki/Aaliyah,2000
12,12,Destiny's Child,"13
","Jumpin', Jumpin'","/wiki/Jumpin%27,_Jumpin%27","Jumpin', Jumpin'",/wiki/Destiny%27s_Child,2000
13,13,Sisqó,"14
",Thong Song,/wiki/Thong_Song,Thong Song,/wiki/Sisq%C3%B3,2000
14,14,3 Doors Down,"15
",Kryptonite,/wiki/Kryptonite_(3_Doors_Down_song),Kryptonite,/wiki/3_Doors_Down,2000
15,15,Pink,"16
",There You Go,/wiki/There_You_Go,There You Go,/wiki/Pink_(singer),2000
16,16,Madonna,"17
",Music,/wiki/Music_(Madonna_song),Music,/wiki/Madonna_(entertainer),2000
17,17,Janet Jackson,"18
",Doesn't Really Matter,/wiki/Doesn%27t_Really_Matter,Doesn't Really Matter,/wiki/Janet_Jackson,2000
