,ranking,band_singer,song,songurl,titletext,url,year,0
0,1,Faith Hill,Breathe,/wiki/Breathe_(Faith_Hill_song),Breathe,/wiki/Faith_Hill,2000,1
1,2,Santana,Smooth,/wiki/Smooth_(song),Smooth,/wiki/Santana_(band),2000,2
1,2,Rob Thomas,Smooth,/wiki/Smooth_(song),Smooth,/wiki/Rob_Thomas_(musician),2000,2
2,3,Santana,Maria Maria,/wiki/Maria_Maria,Maria Maria,/wiki/Santana_(band),2000,3
2,3,The Product G&B,Maria Maria,/wiki/Maria_Maria,Maria Maria,/wiki/The_Product_G%26B,2000,3
3,4,Joe,I Wanna Know,/wiki/I_Wanna_Know_(Joe_song),I Wanna Know,/wiki/Joe_(singer),2000,4
4,5,Vertical Horizon,Everything You Want,/wiki/Everything_You_Want_(Vertical_Horizon_song),Everything You Want,/wiki/Vertical_Horizon,2000,5
5,6,Destiny's Child,Say My Name,/wiki/Say_My_Name,Say My Name,/wiki/Destiny%27s_Child,2000,6
6,7,Savage Garden,I Knew I Loved You,/wiki/I_Knew_I_Loved_You_(Savage_Garden_song),I Knew I Loved You,/wiki/Savage_Garden,2000,7
7,8,Lonestar,Amazed,/wiki/Amazed,Amazed,/wiki/Lonestar,2000,8
8,9,Matchbox Twenty,Bent,/wiki/Bent_(song),Bent,/wiki/Matchbox_Twenty,2000,9
9,10,Toni Braxton,He Wasn't Man Enough,/wiki/He_Wasn%27t_Man_Enough,He Wasn't Man Enough,/wiki/Toni_Braxton,2000,10
10,11,Creed,Higher,/wiki/Higher_(Creed_song),Higher,/wiki/Creed_(band),2000,11
11,12,Aaliyah,Try Again,/wiki/Try_Again_(Aaliyah_song),Try Again,/wiki/Aaliyah,2000,12
12,13,Destiny's Child,"Jumpin', Jumpin'","/wiki/Jumpin%27,_Jumpin%27","Jumpin', Jumpin'",/wiki/Destiny%27s_Child,2000,13
13,14,Sisqó,Thong Song,/wiki/Thong_Song,Thong Song,/wiki/Sisq%C3%B3,2000,14
14,15,3 Doors Down,Kryptonite,/wiki/Kryptonite_(3_Doors_Down_song),Kryptonite,/wiki/3_Doors_Down,2000,15
15,16,Pink,There You Go,/wiki/There_You_Go,There You Go,/wiki/Pink_(singer),2000,16
16,17,Madonna,Music,/wiki/Music_(Madonna_song),Music,/wiki/Madonna_(entertainer),2000,17
17,18,Janet Jackson,Doesn't Really Matter,/wiki/Doesn%27t_Really_Matter,Doesn't Really Matter,/wiki/Janet_Jackson,2000,18
18,19,Christina Aguilera,What a Girl Wants,/wiki/What_a_Girl_Wants_(Christina_Aguilera_song),What a Girl Wants,/wiki/Christina_Aguilera,2000,19
19,20,Brian McKnight,Back at One,/wiki/Back_at_One_(song),Back at One,/wiki/Brian_McKnight,2000,20
20,21,'N Sync,Bye Bye Bye,/wiki/Bye_Bye_Bye,Bye Bye Bye,/wiki/%27N_Sync,2000,21
21,22,Marc Anthony,You Sang to Me,/wiki/You_Sang_to_Me,You Sang to Me,/wiki/Marc_Anthony,2000,22
22,23,Marc Anthony,I Need to Know,/wiki/I_Need_to_Know_(Marc_Anthony_song),I Need to Know,/wiki/Marc_Anthony,2000,23
23,24,Montell Jordan,Get It On Tonite,/wiki/Get_It_On_Tonite,Get It On Tonite,/wiki/Montell_Jordan,2000,24
