,acousticness,danceability,duration_ms,energy,explicit,href,id,instrumentalness,liveness,loudness,name,popularity,speechiness,tempo,track,track_number,uri,valence
0,[0.0368],[0.672],278573,[0.82],FALSE,https://api.spotify.com/v1/tracks/3NZJlJemX3mzjf56MqC5ML,3NZJlJemX3mzjf56MqC5ML,[0.000188],[0.184],[-4.456],Forever,72,[0.0459],[120.005],TRUE,1,spotify:track:3NZJlJemX3mzjf56MqC5ML,[0.438]
1,[0.292],[0.542],303200,[0.589],FALSE,https://api.spotify.com/v1/tracks/7w5cxTEzp1rfV3KCy0Bd5N,7w5cxTEzp1rfV3KCy0Bd5N,[0.000522],[0.177],[-6.623],Home,71,[0.0318],[111.665],TRUE,6,spotify:track:7w5cxTEzp1rfV3KCy0Bd5N,[0.137]
2,[0.912],[0.671],211933,[0.153],FALSE,https://api.spotify.com/v1/tracks/3oQomOPRNQ5NVFUmLJHbAV,3oQomOPRNQ5NVFUmLJHbAV,[5.53e-05],[0.0771],[-13.569],Over the Rainbow,68,[0.0404],[85.6],TRUE,10,spotify:track:3oQomOPRNQ5NVFUmLJHbAV,[0.658]
3,[0.827],[0.722],284626,[0.288],FALSE,https://api.spotify.com/v1/tracks/5Q58RkKyUafm15Syxg79DW,5Q58RkKyUafm15Syxg79DW,[1.06e-05],[0.12],[-10.767],Sham,54,[0.0444],[119.899],TRUE,3,spotify:track:5Q58RkKyUafm15Syxg79DW,[0.502]
4,[0.501],[0.606],274040,[0.282],FALSE,https://api.spotify.com/v1/tracks/683b4ikwa62JevCjwrmfg6,683b4ikwa62JevCjwrmfg6,[8.3e-06],[0.152],[-12.207],Moondance - 2013 Remaster,68,[0.0339],[67.409],TRUE,2,spotify:track:683b4ikwa62JevCjwrmfg6,[0.563]
5,[0.97],[0.264],182893,[0.22],FALSE,https://api.spotify.com/v1/tracks/59QTPCnWwfFTSrzvOozHNL,59QTPCnWwfFTSrzvOozHNL,[0.0459],[0.104],[-15.359],Remember,28,[0.034],[128.964],TRUE,12,spotify:track:59QTPCnWwfFTSrzvOozHNL,[0.159]
6,[0.857],[0.552],191786,[0.371],FALSE,https://api.spotify.com/v1/tracks/1T575AhHueYinKSDflEsGK,1T575AhHueYinKSDflEsGK,[0],[0.0838],[-9.104],Heaven,72,[0.0359],[199.843],TRUE,5,spotify:track:1T575AhHueYinKSDflEsGK,[0.245]
7,[0.638],[0.229],157866,[0.494],FALSE,https://api.spotify.com/v1/tracks/74VR3AkGPhbYXnxcOYa16x,74VR3AkGPhbYXnxcOYa16x,[0],[0.217],[-8.22],Strangers In The Night,66,[0.0311],[80.092],TRUE,1,spotify:track:74VR3AkGPhbYXnxcOYa16x,[0.526]
8,[0.128],[0.574],300106,[0.629],FALSE,https://api.spotify.com/v1/tracks/4jDmJ51x1o9NZB5Nxxc7gY,4jDmJ51x1o9NZB5Nxxc7gY,[0],[0.271],[-8.815],Careless Whisper,75,[0.0363],[153.119],TRUE,3,spotify:track:4jDmJ51x1o9NZB5Nxxc7gY,[0.786]
9,[0.0159],[0.433],210549,[0.701],FALSE,https://api.spotify.com/v1/tracks/72sk4hbxsJWdQ3JMNIUUpY,72sk4hbxsJWdQ3JMNIUUpY,[4.99e-06],[0.0774],[-3.869],It’s Nice to Be Alive,0,[0.0445],[95.095],TRUE,10,spotify:track:72sk4hbxsJWdQ3JMNIUUpY,[0.744]
