,acousticness,danceability,duration_ms,energy,explict,id,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo,time_signature,uri,url,valence,Hit
0,0.00112,0.652,202066,0.698,False,3E7dfMvvCLUddWissuqMwr,0.00011499999999999999,10,0.0886,-4.667,0,Party In The U.S.A.,80,0.042,96.021,4,spotify:track:3E7dfMvvCLUddWissuqMwr,https://open.spotify.com/track/3E7dfMvvCLUddWissuqMwr,0.47,n
1,0.38,0.866,199440,0.813,False,7JJmb5XwzOO8jgpou264Ml,0.0,11,0.0779,-4.063,0,There's Nothing Holdin' Me Back,84,0.0554,121.99799999999999,4,spotify:track:7JJmb5XwzOO8jgpou264Ml,https://open.spotify.com/track/7JJmb5XwzOO8jgpou264Ml,0.9690000000000001,y
2,0.192,0.695,215280,0.762,False,51MMC5DogGZAnHil5HQAXg,0.00244,0,0.0863,-3.497,1,Circles,72,0.0395,120.042,4,spotify:track:51MMC5DogGZAnHil5HQAXg,https://open.spotify.com/track/51MMC5DogGZAnHil5HQAXg,0.5529999999999999,n
3,0.7509999999999999,0.501,182160,0.405,False,2TIlqbIneP0ZY1O0EzYLlc,0.0,1,0.105,-5.678999999999999,1,Someone You Loved,87,0.0319,109.891,4,spotify:track:2TIlqbIneP0ZY1O0EzYLlc,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc,0.446,n
4,0.0906,0.499,229573,0.8,False,4Yq3XUNfWrAPWuB94qkC09,0.0,1,0.147,-2.665,0,Take What You Want (feat. Ozzy Osbourne & Travis Scott),69,0.0502,139.91899999999998,4,spotify:track:4Yq3XUNfWrAPWuB94qkC09,https://open.spotify.com/track/4Yq3XUNfWrAPWuB94qkC09,0.272,n
5,0.29100000000000004,0.7190000000000001,194358,0.653,False,43MBa6HQj2PhJNmF1eYxrc,0.00018,8,0.121,-6.492999999999999,1,It Will Feel,57,0.0254,116.93,4,spotify:track:43MBa6HQj2PhJNmF1eYxrc,https://open.spotify.com/track/43MBa6HQj2PhJNmF1eYxrc,0.43799999999999994,n
6,0.858,0.331,228093,0.622,True,6MreoQf8oixWI2xRcw3Fv1,0.0,5,0.10400000000000001,-7.291,0,Mirror,70,0.092,64.468,3,spotify:track:6MreoQf8oixWI2xRcw3Fv1,https://open.spotify.com/track/6MreoQf8oixWI2xRcw3Fv1,0.38799999999999996,n
7,0.301,0.79,171453,0.7659999999999999,False,5vDE4tylnFfvXFksEfO98U,2.17e-06,7,0.11599999999999999,-4.496,1,Orange Juice (feat. Youkii),51,0.0523,115.12200000000001,4,spotify:track:5vDE4tylnFfvXFksEfO98U,https://open.spotify.com/track/5vDE4tylnFfvXFksEfO98U,0.52,n
8,0.00987,0.601,217466,0.794,False,27rdGxbavYJeBphck5MZAF,1.36e-06,7,0.38799999999999996,-5.843999999999999,0,Nothing Breaks Like a Heart (feat. Miley Cyrus),81,0.0671,114.066,4,spotify:track:27rdGxbavYJeBphck5MZAF,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,0.244,n
9,0.0527,0.6829999999999999,158546,0.821,False,75cl0MJJ4AipZtZ6Hf7sYN,0.0,0,0.11,-7.531000000000001,1,Green Light,60,0.0543,122.93700000000001,4,spotify:track:75cl0MJJ4AipZtZ6Hf7sYN,https://open.spotify.com/track/75cl0MJJ4AipZtZ6Hf7sYN,0.34,y
10,0.297,0.7859999999999999,178153,0.633,False,4sJutC2CvqWHzTzSZC8ep1,3.2200000000000003e-05,4,0.14300000000000002,-8.455,0,Tried to Love,59,0.14300000000000002,119.945,4,spotify:track:4sJutC2CvqWHzTzSZC8ep1,https://open.spotify.com/track/4sJutC2CvqWHzTzSZC8ep1,0.547,n
11,0.374,0.693,211362,0.575,False,14sOS5L36385FJ3OL8hew4,0.0,9,0.252,-6.997999999999999,1,Happy Now,83,0.0801,117.999,4,spotify:track:14sOS5L36385FJ3OL8hew4,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4,0.49200000000000005,n
12,0.29600000000000004,0.674,178480,0.8809999999999999,False,5WHTFyqSii0lmT9R21abT8,3.01e-06,9,0.0793,-2.853,1,Don't Call Me Up,86,0.147,98.994,4,spotify:track:5WHTFyqSii0lmT9R21abT8,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,0.23399999999999999,n
13,0.3,0.688,193320,0.688,False,0kHyKhJMukHEPfeh8s7rdM,0.0,3,0.0982,-5.84,1,Born To Be Yours,77,0.0357,114.01100000000001,4,spotify:track:0kHyKhJMukHEPfeh8s7rdM,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM,0.451,n
14,0.258,0.7020000000000001,213445,0.705,False,5a7NdkF09AfD0H607eiOkX,5.93e-06,0,0.0879,-6.666,1,On My Mind,66,0.0543,154.911,4,spotify:track:5a7NdkF09AfD0H607eiOkX,https://open.spotify.com/track/5a7NdkF09AfD0H607eiOkX,0.743,y
15,0.016,0.807,229184,0.887,False,5itOtNx0WxtJmi1TQ3RuRd,0.000503,1,0.0811,-4.311,0,Giant (with Rag'n'Bone Man),84,0.0361,122.015,4,spotify:track:5itOtNx0WxtJmi1TQ3RuRd,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd,0.606,n
16,0.0404,0.677,152913,0.7440000000000001,False,5p1ex0pXv6jSPJ6QbumQpD,0.00016,10,0.07400000000000001,-6.806,0,Piece Of Your Heart,36,0.0295,124.08,4,spotify:track:5p1ex0pXv6jSPJ6QbumQpD,https://open.spotify.com/track/5p1ex0pXv6jSPJ6QbumQpD,0.631,n
17,0.005229999999999999,0.804,199944,0.823,False,6y68QK2SwC38YxsbxHrA8I,2.77e-06,11,0.168,-3.4960000000000004,0,Mad Love,59,0.147,98.02600000000001,4,spotify:track:6y68QK2SwC38YxsbxHrA8I,https://open.spotify.com/track/6y68QK2SwC38YxsbxHrA8I,0.619,n
18,0.0291,0.614,193040,0.8390000000000001,False,4Sib57MmYGJzSvkW84jTwh,0.0,0,0.11199999999999999,-4.143,1,ME! (feat. Brendon Urie of Panic! At The Disco),37,0.0702,182.123,4,spotify:track:4Sib57MmYGJzSvkW84jTwh,https://open.spotify.com/track/4Sib57MmYGJzSvkW84jTwh,0.657,n
